λ;T;R
781;98,55841929;1,670541254
782;98,54873205;1,668245055
783;98,54327828;1,664977405
784;98,54044505;1,668441607
785;98,60446233;1,667331632
786;98,59849894;1,663076197
787;98,5951234;1,64411686
788;98,58757304;1,670330039
789;98,6254636;1,606625131
790;98,63179251;1,568188146
791;98,67417667;1,583979542
792;98,65055696;1,596459151
793;98,68654245;1,548735046
794;98,68472748;1,558194132
795;98,70286355;1,554356266
796;98,66463711;1,579051602
797;98,64736021;1,5731808
798;98,63922244;1,623814591
799;98,63634717;1,631577282
800;98,60164919;1,681118352
801;98,52001199;1,684326455
802;98,47312813;1,753535573
803;98,45102801;1,786474686
804;98,37731195;1,858588539
805;98,34409798;1,923942192
806;98,26638643;1,948787746
807;98,18483221;2,028440934
808;98,15787016;2,123529649
809;98,05248929;2,173287768
810;97,97802286;2,274573667
811;97,93221834;2,324110162
812;97,87571959;2,368337904
813;97,78883496;2,441869108
814;97,75311336;2,490035288
815;97,70047774;2,551872899
816;97,63795653;2,624727323
817;97,59654088;2,667835907
818;97,52114002;2,714515252
819;97,48818489;2,773643309
820;97,40763843;2,835603235
821;97,3699153;2,898340862
822;97,29165158;2,94163709
823;97,22621363;3,045058436
824;97,12812202;3,108971085
825;97,07680458;3,172432103
826;96,9716951;3,267831302
827;96,90954533;3,34894612
828;96,8069249;3,443849364
829;96,72117524;3,527755961
830;96,62004329;3,63157272
831;96,49438169;3,748627487
832;96,41530295;3,830845645
833;96,31188376;3,948502109
834;96,1994121;4,034127317
835;96,12131286;4,113440749
836;96,04216379;4,22103394
837;95,94715805;4,289122427
838;95,84318843;4,372475092
839;95,76608655;4,4717404
840;95,69696969;4,555426341
841;95,60538391;4,620555493
842;95,53234928;4,694934793
843;95,48615364;4,77317728
844;95,41587914;4,809200339
845;95,33682487;4,886900861
846;95,28630383;4,960333799
847;95,18398108;5,037737938
848;95,10917402;5,130441376
849;95,0091762;5,197765314
850;94,91572872;5,317553268
851;94,80180763;5,449921827
852;94,64417922;5,59013938
853;94,48781076;5,729689308
854;94,30243625;5,909389851
855;94,12471749;6,112320406
856;93,89660955;6,327923569
857;93,61087262;6,578125657
858;93,36223984;6,837998791
859;93,08601079;7,125400225
860;92,74956711;7,42293588
861;92,43391788;7,763369005
862;92,09673399;8,075453481
863;91,75798218;8,420021282
864;91,41854196;8,781961376
865;91,06989152;9,101994993
866;90,71242361;9,450041925
867;90,37417222;9,796388377
868;90,06347267;10,10995017
869;89,77768101;10,40736768
870;89,48830949;10,67997364
871;89,24296511;10,93449859
872;89,0157114;11,16528466
873;88,80598131;11,3731791
874;88,63484176;11,53726032
875;88,48847666;11,67255063
876;88,38978276;11,80279486
877;88,31724158;11,86900695
878;88,26069593;11,92040493
879;88,22193906;11,95580654
880;88,22992146;11,95021044
881;88,25165144;11,9339299
882;88,27995805;11,89124188
883;88,32674371;11,83701823
884;88,42710226;11,76826412
885;88,50689239;11,68524692
886;88,59670639;11,59563765
887;88,68996505;11,50996414
888;88,77736421;11,42172537
889;88,86347999;11,34190627
890;88,92152978;11,266307
891;88,98700328;11,21139149
892;89,02404271;11,16842729
893;89,03805502;11,14663743
894;89,05169117;11,14587671
895;89,0246098;11,17635602
896;88,94908;11,23282097
897;88,87751175;11,31143072
898;88,76597191;11,42485853
899;88,6236534;11,56690206
900;88,4504985;11,7316692
